Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;ZL9;ZL10;ZL11;ZL12;Sum;Average
Čerin;Boštjan;OK Tivoli;A;;;;;;;;;;;;;;949;;949;949
Babič;Katja;OK Komenda;A;1:28:09;7;909;;;;;;;;;;;;909;909;909
Flašker;Ajda;OK Komenda;A;1:28:56;8;899;;;;;;;;;;;;899;899;899
Anderluh;Gregor;OK Polaris;A;1:29:27;9;892;;;;;;;;;;;;892;892;892
Razpet;Deja;OK Azimut;A;;;;;;;;;;;892;;;;;892;892
Hribar;Anica;OK Brežice;A;;;;;890;;;;;;;;;;;890;890
Škarabot;Matej;OK Polaris;A;;;;;;;;;;;;878;;;;878;878
Jezeršek;Polona;ind.;A;;;;;;;;864;;;;;;;;864;864
Poljanšek;Aleš;OK Azimut;A;;;;;;;854;;;;;;;;;854;854
Černe;Aljaž;OK Tivoli;A;;;;;;;;;;;;;;827;;827;827
Jazbar;Jožko;OK Azimut;A;;;;;801;;;;;;;;;;;801;801
Poljanšek;Nika;OK Azimut;A;mp;;;;;;;;;;778;;;;-;778;778
Črnigoj;Nina;PD Ajdovščina;A;;;;;;;;;;;;760;;;;760;760
Pogačar;Ana Pia;OK Komenda;A;1:46:03;16;682;;;;;;;;;;;;682;682;682
Zupan;Aleš;OK Polaris;A;;;;;;;;639;;;;;;;;639;639
Foški;Valter;OK Polaris;A;;;;;;;;;;;;624;;;;624;624
Čerin;Aleš;OK Tivoli;A;;;;;529;;;;;;;;;;;529;529
Podobnik;Primo Ž;OK Azimut;A;;;;;;;;;;;;;396;;;396;396
Borštnik;Aleš;OK Tivoli;A;;;;;-;;;;;;;;380;;;380;380
Poženel;Natan Maj;PD Tolmin;B;0:33:42;3;385;;382;;226;342;;;342;;307;;385;1758;352
Babic;Katja;OK Komenda;B;;;;295;;;;292;;327;;;375;357;;1646;329
Gantar;Kristjan;OK Azimut;B;;;;240;340;;208;;226;;297;;299;;;1402;280
Pust;Karin;OK Komenda;B;0:52:04;29;205;207;333;;;161;;224;;;;;205;1130;226
Zibelnik;Klemen;smuckacom;B;0:32:27;1;402;184;;;;;;;;;256;248;402;1090;272
Boncina;Igor;OK Azimut;B;0:47:52;24;236;259;;;;275;;;;;242;;236;1012;253
Sladič;Roman;OK Perkmandeljc Trbovlje;B;0:54:12;30;195;142;282;;174;;;205;;;-;;195;998;200
Ravnikar;Nika;OK Komenda;B;0:39:54;15;304;217;;;;;;;;;214;257;304;992;248
Turk;Nejc;OK Komenda;B;mp;;;;366;;;321;;;;;;277;-;964;321
Sedej;Vlado;OK Azimut;B;;;;;192;;;176;;-;219;;190;183;;960;192
Kern;Rok;OK Komenda;B;0:36:28;8;348;302;;;;;;;;;288;;348;938;313
Gantar;Damjana;OK Azimut;B;;;;170;255;;154;;153;;201;;-;;;933;187
Kenda;Klemen;OK Azimut;B;0:37:45;10;333;;;;;;318;;;;271;;333;922;307
Bogataj;Tajda;OK Azimut;B;0:33:12;2;392;-;;;233;;;;;;283;;392;908;303
Zavrl;Janez;OK Komenda;B;0:51:50;28;209;;;;;165;;;;;294;235;209;903;226
Kern;Tina;OK Komenda;B;0:35:46;5;362;236;;;;;;;;;303;;362;901;300
Stojan;Petra;OK Komenda;B;0:50:45;27;216;117;264;;126;;;;;;170;;216;893;179
Pogačar;Ana Pia;OK Komenda;B;;;;;;;;287;;;;;311;271;;869;290
Čelik;Aljaž;OK Azimut;B;;;;285;;;;;300;;267;;;;;852;284
Zupan;Tilen;OK Komenda;B;mp;;;;301;;;314;;;;;;209;-;824;275
Plavčak;Ana;ŠOK;B;0:50:44;26;219;229;;;;182;;;;;-;158;219;788;197
Malus;Franc;OK Komenda;B;0:36:07;7;354;243;;;;;;;;;;187;354;784;261
Primožič;Patricija;OK Komenda;B;0:45:06;22;255;;;;;;;;;;266;213;255;734;245
Eržen;Valentin;OK Azimut;B;0:35:19;4;369;;;;;;;;;;350;;369;719;360
Nelson;Charles;OK Azimut;B;;;;;294;;214;;185;;;;;;;693;231
Trunk;Špela;OK Komenda;B;;;;180;242;;;;;;;;;231;;653;218
Malus;Vita;OK Komenda;B;0:48:32;25;231;156;;;;;;;;;;241;231;628;209
Leban;Manja;OK Azimut;B;;;;292;329;;;;;;;;;;;621;310
Luznar;Aljaž;OK Azimut;B;0:37:38;9;337;;;;;;;;;;280;;337;617;308
Kavčič;Julijan;OK Azimut;B;;;;;;;305;;;310;;;;;;615;308
Babič;Silvo;OK Komenda;B;1:14:51;33;136;-;;;;188;;;;;291;;136;615;205
Paradiž;Petra;OK Komenda;B;1:06:13;32;156;174;278;;;;;;;;;;156;608;203
Ravnikar;Monika;OK Komenda;B;0:43:02;21;268;;;;;;;;;;329;;268;597;298
Tomažin;Urša;OK Azimut;B;;;;271;325;;;;;;;;;;;596;298
Hacin Kölner;Irena;OK Komenda;B;;;;213;203;;;;;;;;;179;;595;198
Zupan;Romana;OK Komenda;B;;;;;203;;;;;;;;194;191;;588;196
Gregorič;Nik;PD Ajdovščina;B;;;;;;;;;;278;;306;;;;584;292
Tušar;Teja;OK Azimut;B;0:40:08;16;300;;;;-;;268;;;;;;300;568;284
Seljak;Borut;OK Komenda;B;0:40:27;18;292;;;;;;;;;;274;;292;566;283
Rovtar;Jošt;OK Azimut;B;;;;263;288;;;;;;;;;;;551;276
Giacometti;Carlo;SSDAŠZ GAJA;B;0:37:59;11;328;;;;;;;;;;;222;328;550;275
Flerin Drevenšek;Mojca;Kamniški OK;B;;;;;;;;;;;;;222;316;;538;269
Pust;Tomaž;OK Azimut;B;0:38:58;14;313;;;;;;;221;;;;;313;534;267
Bogataj;Boštjan;OK Azimut;B;;;;248;;;;;;;261;;;;;509;254
Rupnik;Andraž;OK Azimut;B;;;;274;173;;;;;;;;;;;447;224
Salopek;Tihon;OK Azimut;B;;;;393;;;;;;;;;;;;393;393
Grabar;Cristina;us primiero asd;B;;;;;387;;;;;;;;;;;387;387
