Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;ZL9;ZL10;ZL11;ZL12;ZL13;ZL14;ZL15;ZL16;ZL17;ZL18;ZL19;ZL20;Sum;Average
Bernik;Jerca;Rod aragonitnih Kamnitnikov;A;;;;;;;;;;;;;;;;;;823;;;;;;823;823
Friessnig;Armin;OCFF;A;;;;;;;;;;;;;;;;;;;;820;;;;820;820
Žnidaršič;Urban;RMT;A;;;;;;;;;;;;;;;;;;812;;;;;;812;812
Rebolj;Aljoša;OK Polaris;A;;;;;;;;;;;;;;;;;;812;;;;;;812;812
Jeram;Nuša;OK Azimut;A;1:10:22;22;809;;;;;;;;;;;;;;;;;;;;809;809;809
Oberč;Veronika;Ljubljana OK Tivoli;A;;;;;;;;;;;;;;;;;;800;;;;;;800;800
Pavšič;Aljaž;OK Azimut;A;;;;;;;;;;;;;;;;;;;;;800;;;800;800
Zobavnik;Aleš;Kamniški OK;A;;;;;791;;;;;;;;;;;;;;;;;;;791;791
Ruzzier;Diego;PUNTO K ORIENTEERING ASD;A;;;;;;;;;;;;;;;;;773;;;;;;;773;773
Pušnik;Maša;RKJ Sežana;A;;;;;;;;;;;;;;;;;;767;;;;;;767;767
Baltič;Mark;RKJ Sežana;A;;;;;;;;;;;;;;;;;;767;;;;;;767;767
Đukič;Jovana;RKJ Sežana;A;;;;;;;;;;;;;;;;;;767;;;;;;767;767
Palmas;Giordano;PUNTO K ORIENTEERING ASD;A;;;;;;;;;;;;;;;;;756;;;;;;;756;756
Tremul;Michael;PUNTO K ORIENTEERING ASD;A;1:15:44;29;743;;;;;;;;;;;;;;;;;;;;743;743;743
Grad;Jaka;OK Tivoli;A;;;;741;;;;;;;;;;;;;;;;;;;;741;741
Scolini;Camilla;PUNTO K ORIENTEERING ASD;A;;;;;;;;;;;;;;;;;738;;;;;;;738;738
Smolej;Manca;Feštival Tim;A;;;;;;;;;;;;;;;;;;736;;;;;;736;736
Pavlin;Lovrenc;Feštival Tim;A;;;;;;;;;;;;;;;;;;736;;;;;;736;736
Kunc;Gregor;OK Tivoli;A;;;;730;;;;;;;;;;;;;;;;;;;;730;730
Casagrande;Eva;OK Tivoli;A;;;;724;;;;;;;;;;;;;;;;;;;;724;724
Kacin;Emil;OK Azimut;A;;;;;;;;720;;;;;;;;;;;;;;;;720;720
Peternelj;Maja;Rožna blok;A;;;;;;;;;;;;;;;;;;717;;;;;;717;717
Vojnovič;Ana;Rožna blok;A;;;;;;;;;;;;;;;;;;717;;;;;;717;717
Giacommeti;Carlo;AŠD Gaja;A;;;;;;;;;;;;;;;;;;;;;713;;;713;713
Tomažin;Urša;OK Azimut;A;;;;;;;;708;;;;;;;;;;;;;;;;708;708
Lotrič;Urša;Ljubljana ;A;;;;;;;;;;;;;;;;;;693;;;;;;693;693
Modrec;Marjan;Ljubljana ;A;;;;;;;;;;;;;;;;;;693;;;;;;693;693
Kohlbacher;Thomas;Naturfreunde Villach;A;;;;;;;;;;;;;;;;;;;;692;;;;692;692
Ferluga;Peter;SSD Gaja;A;1:19:57;34;691;;;;;;;;;;;;;;-;;;;;;691;691;691
Patini;Luca;ASD SEMIPERDO ORIENTEERING MANIAGO;A;;;;;;;;;;;;;;;;;682;;;;;;;682;682
Margiore;Andrea;ORIENTEERING TRIESTE  ASD;A;;;;;;;;;;;;;;;;;655;;;;;;;655;655
Gruenberger;Martin;Orienteering Klosterneuburg;A;;;;;;;;;;;;;;;;;;;;653;;;;653;653
Brenčič;Žiga;OK Komenda;A;;;;;;;;;;;650;;;;;;;;;;;;;650;650
Schieckl;Gottfried;OCFF;A;;;;;;;;;;;;;;;;;;;;645;;;;645;645
Šumečki;Janez;ind.;A;;;;;;637;;;;;;;;;;;;;;;;;;637;637
Belc;Sabina;REŠ Vrhnika;A;;;;;;;;;;;;;;;;;;631;;;;;;631;631
Kepa;Rok;REŠ Vrhnika;A;;;;;;;;;;;;;;;;;;631;;;;;;631;631
Dagarin;Meta;ind.;A;;;;;;621;;;;;;;;;;;;;;;;;;621;621
Dini;Michela;PUNTO K ORIENTEERING ASD;A;;;;;;;;;;;;;;;;;618;;;;;;;618;618
Giudici;Piero;ORIENTEERING TRIESTE  ASD;A;;;;;;;;;;;;;;;;;616;;;;;;;616;616
